Oxnard,0.0022265460961943136,34.2023 -119.2046
Fayetteville,0.0022249771877532448,35.0828 -78.9735
Rochester,0.002205440037368855,43.1699 -77.6169
Moreno Valley,0.0021967474365467174,33.9233 -117.2057
Glendale,0.002152521179680914,34.1814 -118.2458
Yonkers,0.0021415494213261428,40.9459 -73.8674
Huntington Beach,0.0021400123150832036,33.6906 -118.0093
Aurora,0.002130376249049883,41.7635 -88.2901
Salt Lake City,0.0021259133405790048,40.7769 -111.9310
Amarillo,0.0021183020144932793,35.1999 -101.8302
Montgomery,0.0021150369888186227,32.3472 -86.2661
Grand Rapids,0.002107733083981485,42.9612 -85.6556
Little Rock,0.002105369120587172,34.7254 -92.3586
Akron,0.0020973125637276297,41.0805 -81.5214
Augusta,0.0020901040654848816,33.3655 -82.0734
Huntsville,0.0020627435743605675,34.6990 -86.6730
Columbus,0.0020571569882224376,32.5102 -84.8749
Grand Prairie,0.0020548142262935445,32.6869 -97.0211
Shreveport,0.0020357223066829713,32.4669 -93.7922
Overland Park,0.002027686951288849,38.8890 -94.6906
Tallahassee,0.0020252593834982763,30.4551 -84.2534
Mobile,0.0020169484090536956,30.6684 -88.1002
Port St. Lucie,0.0020071851342278557,27.2806 -80.3883
Knoxville,0.0019860154710061376,35.9707 -83.9493
Worcester,0.0019683122473805642,42.2695 -71.8078
Tempe,0.0019615383791789227,33.3884 -111.9318
Cape Coral,0.0019438033533552199,26.6432 -81.9974
Brownsville,0.001943103704996365,25.9991 -97.4550
McKinney,0.0019222308622905244,33.1985 -96.6680
Providence,0.0019122979757413257,41.8231 -71.4188
Fort Lauderdale,0.0019088951405414401,26.1412 -80.1467
Newport News,0.001901644239367852,37.0762 -76.5220
Chattanooga,0.001899004656923081,35.0660 -85.2484
Rancho Cucamonga,0.001881121220841439,34.1233 -117.5642
Frisco,0.0018793614992115917,33.1554 -96.8226
Sioux Falls,0.001875142407593042,43.5383 -96.7320
Oceanside,0.0018677748983596447,33.2245 -117.3062
Ontario,0.0018640434404457514,34.0394 -117.6042
Vancouver,0.0018622625173504842,45.6349 -122.5957
Santa Rosa,0.0018579798213356749,38.4468 -122.7061
Garden Grove,0.0018469232571192242,33.7788 -117.9605
Elk Grove,0.0018216723118041852,38.4146 -121.3850
Pembroke Pines,0.0018096722823765512,26.0210 -80.3404
Salem,0.0017999832126796805,44.9237 -123.0232
Eugene,0.0017906333664295276,44.0567 -123.1162
Peoria,0.0017828418278877335,33.7862 -112.3080
Corona,0.0017791845751028096,33.8620 -117.5655
Springfield,0.0017743082380562445,37.1942 -93.2913
Jackson,0.0017699513369124659,32.3158 -90.2128
Cary,0.0017587039595072364,35.7809 -78.8133
Fort Collins,0.001749968955754259,40.5482 -105.0648
Hayward,0.001701417599942807,37.6287 -122.1024
Lancaster,0.0016994670651241809,34.6936 -118.1753
Alexandria,0.0016964882592326923,38.8201 -77.0841
Salinas,0.0016706330721531876,36.6902 -121.6337
Palmdale,0.0016698168157345233,34.5910 -118.1054
Lakewood,0.001642668339264408,39.6989 -105.1176
Springfield,0.0016405481927224232,42.1155 -72.5400
Sunnyvale,0.0016288661852760869,37.3858 -122.0263
Hollywood,0.001628558764027499,26.0310 -80.1646
Pasadena,0.0016274244856275372,29.6586 -95.1506
Clarksville,0.001624085254823911,36.5664 -87.3452
Pomona,0.0016212654599230714,34.0585 -117.7611
Kansas City,0.0016212548591903614,39.1225 -94.7418
