NewYork,0.021422805009954072,0.021422805009954072,-73.9387 40.6635

LosAngeles,0.006419199598702052,0.027842004608656122,-118.4108 34.0194

Chicago,0.009013528130045616,0.036855532738701735,-87.6818 41.8376

Houston,0.0027334503785681813,0.03958898311726992,-95.3909 29.7866

Phoenix,0.002351355164359726,0.041940338281629644,-112.0901 33.5722

Philadelphia,0.008839135955355603,0.05077947423698525,-75.1333 40.0094

SanAntonio,0.002449328296208048,0.053228802533193294,-98.5251 29.4724

SanDiego,0.003272302603733952,0.05650110513692724,-117.1350 32.8153

Dallas,0.0029254777169908926,0.059426582853918136,-96.7665 32.7933

SanJose,0.004371561143072124,0.06379814399699026,-121.8189 37.2967

Austin,0.002292571285250733,0.06609071528224099,-97.7544 30.3039

Jacksonville,0.0008915554998197295,0.06698227078206072,-81.6616 30.3369

SanFrancisco,0.014049347107049363,0.08103161788911008,-123.0322 37.7272

Columbus,0.0029783832081889863,0.08401000109729906,-82.9848 39.9852

FortWorth,0.0018850030567617137,0.08589500415406078,-97.3467 32.7815

Indianapolis,0.0017909488501873247,0.0876859530042481,-86.1459 39.7767

Charlotte,0.0020848682457322906,0.08977082124998038,-80.8310 35.2078

Seattle,0.006358456256956092,0.09612927750693648,-122.3509 47.6205

Denver,0.0034212217641434012,0.09955049927107988,-104.8811 39.7619

Washington,0.00843352718950355,0.10798402646058343,-77.0172 38.9041

Boston,0.010543868449516405,0.11852789491009984,-71.0202 42.3320

ElPaso,0.0020182465160754315,0.12054614142617527,-106.4270 31.8484

Detroit,0.0036661545937642062,0.12421229601993948,-83.1022 42.3830

Nashville,0.001050271973414011,0.1252625679933535,-86.7850 36.1718

Memphis,0.001555813333751352,0.12681838132710485,-89.9774 35.1028

Portland,0.0036269653410248774,0.13044534666812974,-122.6500 45.5370

OklahomaCity,0.0007975012932453404,0.1312428479613751,-97.5137 35.4671

LasVegas,0.003562303074004985,0.13480515103538007,-115.2601 36.2292

Louisville,0.0017693947611806939,0.13657454579656075,-85.6474 38.1654

Baltimore,0.00574906337685953,0.1423236091734203,-76.6105 39.3000

Milwaukee,0.004679196777075855,0.14700280595049614,-87.9667 43.0633

Albuquerque,0.0022475036446005046,0.14925030959509664,-106.6474 35.1056

Tucson,0.0017400028216261972,0.15099031241672284,-110.8706 32.1531

Fresno,0.0034525731663348643,0.15444288558305772,-119.7934 36.7836

Sacramento,0.003826830529995454,0.15826971611305318,-121.4686 38.5666

Mesa,0.002658990798363457,0.16092870691141664,-111.7174 33.4019

KansasCity,0.0011560829558101987,0.16208478986722685,-94.5510 39.1251

Atlanta,0.0026766259620961547,0.16476141582932302,-84.4227 33.7629

LongBeach,0.007071700656811876,0.1718331164861349,-118.1553 33.8092

Omaha,0.002539463577508504,0.1743725800636434,-96.0451 41.2644

Raleigh,0.0023925038797360213,0.17676508394337942,-78.6418 35.8306

ColoradoSprings,0.0017987867007351903,0.1785638706441146,-104.7607 38.8673

Miami,0.009532785728841723,0.18809665637295633,-80.2086 25.7752

VirginiaBeach,0.0013912184722461713,0.1894878748452025,-76.0252 36.7800

Oakland,0.005684401109839638,0.19517227595504213,-122.2257 37.7698

Minneapolis,0.005800009405420657,0.2009722853604628,-93.2683 44.9633

Tulsa,0.0015499349458404526,0.20252222030630326,-95.9023 36.1279

Arlington,0.003135140219146301,0.20565736052544956,-97.1247 32.7007

NewOrleans,0.001747840672174063,0.20740520119762362,-89.9345 30.0534

Wichita,0.0018399354161114856,0.20924513661373512,-97.3459 37.6907

Cleveland,0.003756289875064662,0.21300142648879977,-81.6794 41.4785

Tampa,0.002515950025864907,0.21551737651466468,-82.4797 27.9701

Bakersfield,0.001912435533679244,0.21742981204834394,-119.0183 35.3212

Aurora,0.001783110999639459,0.2192129230479834,-104.6897 39.6880

Anaheim,0.005312103208816014,0.2245250262567994,-117.7601 33.8555

Honolulu,0.004398993619989654,0.22892401987678906,-157.8476 21.3243

SantaAna,0.00933096107723418,0.23825498095402325,-117.8830 33.7363

Riverside,0.003025410311476181,0.24128039126549944,-117.3932 33.9381

CorpusChristi,0.0014108130986158357,0.2426912043641153,-97.1734 27.7543

Lexington,0.0008504067844434342,0.2435416111485587,-84.4583 38.0407

Stockton,0.0037660871882494945,0.2473076983368082,-121.3133 37.9763

St.Louis,0.003799398053077924,0.25110709638988615,-90.2446 38.6357

SaintPaul,0.004398993619989654,0.2555060900098758,-93.1041 44.9489

Henderson,0.002116219647923753,0.25762230965779953,-115.0357 36.0097

Pittsburgh,0.004146222939820984,0.2617685325976205,-79.9766 40.4398

Cincinnati,0.002919599329079993,0.2646881319267005,-84.5058 39.1402

Anchorage,0.0001332434593137178,0.2648213753860142,-149.2843 61.1743

Greensboro,0.0016929757183390026,0.2665143511043532,-79.8270 36.0951

Plano,0.003017572460928315,0.2695319235652815,-96.7479 33.0508

Newark,0.008845014343266502,0.278376937908548,-74.1726 40.7242

Lincoln,0.002302368598435565,0.2806793065069836,-96.6803 40.8105

Orlando,0.0019927735017948676,0.28267208000877847,-81.2736 28.4166

Irvine,0.0030685184894894426,0.28574059849826794,-117.7713 33.6784

Toledo,0.0026100042324392956,0.28835060273070723,-83.5819 41.6641

JerseyCity,0.013502657031335727,0.30185325976204297,-74.0648 40.7114

ChulaVista,0.004075682284890192,0.30592894204693316,-117.0152 32.6277

Durham,0.0018125029391939554,0.3077414449861271,-78.9029 35.9811

